releaseName,bromaReleaseId,dbState,releaseId,trackId,errorMessage,bsonFixed,bromaStatus,hopeless
"Koi Mere Dil Da Haal","46437","processing","6a50ff673fbc92d483913267","","","false","NOT_IN_BROMA",""
"Hadh Kar Dil","46491","processing","6a48de434028dc69f7855f3e","","","false","NOT_IN_BROMA",""
"Ae Dil Kahin Se Unko","46492","processing","6a4908fd4028dc69f7855fad","","","false","NOT_IN_BROMA",""
"Armaan Hamare","46494","processing","6a49b7524028dc69f7855ffe","","","false","NOT_IN_BROMA",""
"Aap Ki Nazron Ne","46493","processing","6a4b03e43576ebe4b14b7e5f","","","false","NOT_IN_BROMA",""
"Aankh Churaaye","46496","processing","6a49d5864028dc69f78560d9","","","false","NOT_IN_BROMA",""
"Gori Hai Kalaiyan","46498","processing","6a48da47191ffc8b4c204dd5","","","true","NOT_IN_BROMA",""
"Sheeshe Ka Tha Dil Mera","46499","processing","6a49097d4028dc69f7855fb0","","","true","NOT_IN_BROMA",""
"Aankh Milakar Loot Liya Dil","46536","processing","6a4909f94028dc69f7855fb6","","","true","NOT_IN_BROMA",""
"Aa Jao Meri Tamanna","46501","processing","6a4b242f3576ebe4b14b7f49","","","true","NOT_IN_BROMA",""
"Dil ko tera intezar reh gaya","46502","processing","6a4c5b796d14d7a3515393f9","","","true","NOT_IN_BROMA",""
"Ek Pardesi Mera Dil Le Gaya","46503","processing","6a4c5bfd6d14d7a3515393fc","","","true","NOT_IN_BROMA",""
"Hamne Tumko Dil Ye De Diya","46510","processing","6a4c5c626d14d7a3515393ff","","","true","NOT_IN_BROMA",""
"Has Mat Yaar Nazar Lag Jayegi","46508","processing","6a4c5cdc6d14d7a351539402","","","true","NOT_IN_BROMA",""
"Itna Na Mujhse Tu Pyar Badha","46509","processing","6a4c5d3c6d14d7a351539405","","","true","NOT_IN_BROMA",""
"Jab Tu Najar Se Najar","46512","processing","6a4c5dd56d14d7a351539408","","","true","NOT_IN_BROMA",""
"Jabse Tujhko Dekha Hai","46511","processing","6a4c5e3f6d14d7a35153940b","","","true","NOT_IN_BROMA",""
"Jeena Yahan Marna Yahan","46292","processing","6a4c5eef6d14d7a35153940e","","","true","NOT_IN_BROMA",""
"Kesariya","46519","processing","6a4c5f816d14d7a351539411","","","true","NOT_IN_BROMA",""
"Koi Haseena Jab Rooth Jati Hai To","46513","processing","6a4c60956d14d7a351539414","","","true","NOT_IN_BROMA",""
"Mera Mann Dole Mera Tan Dole","46514","processing","6a4c61886d14d7a351539417","","","true","NOT_IN_BROMA",""
"Mera Mann","46518","processing","6a4c62126d14d7a35153941a","","","true","NOT_IN_BROMA",""
"Mere Mehboob Qayamat Hogi","46515","processing","6a4c62876d14d7a35153941d","","","true","NOT_IN_BROMA",""
"Mere Mehboob","46516","processing","6a4c62f46d14d7a351539420","","","true","NOT_IN_BROMA",""
"Panchi Sur Mein Gate Hai","46528","processing","6a4c63106d14d7a351539423","","","true","NOT_IN_BROMA",""
"Mujhe Teri Mohabbat Ka","46527","processing","6a4c63816d14d7a351539426","","","true","NOT_IN_BROMA",""
"Panchi Sur Mein Gate","46529","processing","6a4c638d6d14d7a351539429","","","true","NOT_IN_BROMA",""
"Mujhe Teri","46531","processing","6a4c63f06d14d7a35153942c","","","true","NOT_IN_BROMA",""
"Aaj Phir Jeene","46533","processing","6a4c63f86d14d7a35153942f","","","true","NOT_IN_BROMA",""
"Panchi Sur Mein","46532","processing","6a4c64046d14d7a351539432","","","true","NOT_IN_BROMA",""
"Aane Se Tere Mehke Din","46534","processing","6a4c64556d14d7a351539435","","","true","NOT_IN_BROMA",""
"Sach keh raha hai deewana","46273","processing","6a4c64596d14d7a351539436","","","true","NOT_IN_BROMA",""
"Aankhein Khuli Ho Yah Band","46270","processing","6a4c64ad6d14d7a35153943b","","","true","NOT_IN_BROMA",""
"Pardesi Pardesi","46268","processing","6a4c64bd6d14d7a35153943e","","","true","NOT_IN_BROMA",""
"Safar aur dhundh","46266","processing","6a4c64d26d14d7a351539441","","","true","NOT_IN_BROMA",""
"Sajna Mere Dil Ye Tera","46264","processing","6a4c65386d14d7a351539444","","","true","NOT_IN_BROMA",""
"Sanam Re","46262","processing","6a4c65a16d14d7a35153944a","","","true","NOT_IN_BROMA",""
"Aap Jo Mere Meet Naa Hote","46261","processing","6a4c65de6d14d7a35153944d","","","true","NOT_IN_BROMA",""
"Solah Baras Ki Baali Umar Ko Salam","46256","processing","6a4c65fd6d14d7a351539450","","","true","NOT_IN_BROMA",""
"Aap Ki Nazron Ne Samjha","46253","processing","6a4c66486d14d7a351539453","","","true","NOT_IN_BROMA",""
"Teri Yaadon Ka Safar","46252","processing","6a4c665b6d14d7a351539456","","","true","NOT_IN_BROMA",""
"Aasan Nahi Yahan","46250","processing","6a4c669e6d14d7a351539459","","","true","NOT_IN_BROMA",""
"Thehre Hue Paani Mein","46249","processing","6a4c66ab6d14d7a35153945c","","","true","NOT_IN_BROMA",""
"Adhi Adhi Raat","46247","processing","6a4c66fc6d14d7a35153945f","","","true","NOT_IN_BROMA",""
"Tumse Mila Jo Pyar Mujhe","46244","processing","6a4c66fd6d14d7a351539460","","","true","NOT_IN_BROMA",""
"Pehle Kabhi Na","46243","processing","6a4c67236d14d7a351539465","","","true","NOT_IN_BROMA",""
"Tune O Rangile Kaisa Jaadu Kiya","46242","processing","6a4c674b6d14d7a351539468","","","true","NOT_IN_BROMA",""
"Aisaa Lagataa Hai","46241","processing","6a4c67506d14d7a35153946b","","","true","NOT_IN_BROMA",""
"Pehli Pehli Baar x Dil Deewana","46847","processing","6a4c67976d14d7a35153946e","","","true","NOT_IN_BROMA",""
"Tune O Rangile","46848","processing","6a4c67986d14d7a35153946f","","","true","NOT_IN_BROMA",""
"Akhmedov","46849","processing","6a4c67b76d14d7a351539474","","","true","NOT_IN_BROMA",""
"Amplifier","46850","processing","6a4c68706d14d7a35153947a","","","true","NOT_IN_BROMA",""
"Pehli Pehli Baar","46851","processing","6a4c68e26d14d7a35153947d","","","true","NOT_IN_BROMA",""
"Ankhiyon Ke Jharokhon Se","46852","failed","6a4c69a56d14d7a351539480","","timeout of 60000ms exceeded","true","NOT_IN_BROMA","YES"
"Baarish Ki Pyaas","46853","processing","6a4c6ab86d14d7a351539486","","","true","NOT_IN_BROMA",""
"Baarish","46854","processing","6a4c6b2c6d14d7a351539489","","","true","NOT_IN_BROMA",""
"Phool gulab ka khilta","46855","processing","6a4c6b6c6d14d7a35153948c","","","true","NOT_IN_BROMA",""
"Bahut Pyar Karte Hain Tumko","46856","processing","6a4c6bc36d14d7a35153948f","","","true","NOT_IN_BROMA",""
"Bandeya","46857","processing","6a4c6bfe6d14d7a351539492","","","true","NOT_IN_BROMA",""
"Phool Gulab Ka","46858","processing","6a4c6c076d14d7a351539495","","","true","NOT_IN_BROMA",""
"Bansuriya Ab Yehi Pukare","46859","processing","6a4c6c836d14d7a351539498","","","true","NOT_IN_BROMA",""
"Baras Ki Baali Umar","46860","processing","6a4c6cbd6d14d7a35153949b","","","true","NOT_IN_BROMA",""
"Beete lamhe","46861","processing","6a4c6cf76d14d7a35153949e","","","true","NOT_IN_BROMA",""
"Bewafa","46862","processing","6a4c6d2b6d14d7a3515394a1","","","true","NOT_IN_BROMA",""
"Bhooli Bisri Prem Kahani","46863","processing","6a4c6d636d14d7a3515394a4","","","true","NOT_IN_BROMA",""
"Bindiya Chamkegi Chudi Khankegi","46864","processing","6a4c6d9e6d14d7a3515394a7","","","true","NOT_IN_BROMA",""
"Chaahat","46865","processing","6a4c6dd76d14d7a3515394aa","","","true","NOT_IN_BROMA",""
"Phool Jaisi Muskaan","46866","processing","6a4c6deb6d14d7a3515394ad","","","true","NOT_IN_BROMA",""
"Phool Main bheju","46867","processing","6a4c6e6d6d14d7a3515394e8","","","true","NOT_IN_BROMA",""
"Chale To Kaat Hi Jayegi Safar","46868","processing","6a4c6e676d14d7a3515394e5","","","true","NOT_IN_BROMA",""
"Chahun Main Ya Naa","46869","processing","6a4c6e196d14d7a3515394b9","","","true","NOT_IN_BROMA",""
"Phoolon Ke Mausam","46870","processing","6a4c6ec56d14d7a3515394ee","","","true","NOT_IN_BROMA",""
"Chand Chhupa Badal Mein","46184","processing","6a4c6eab6d14d7a3515394eb","","","false","NOT_IN_BROMA",""
"Chhodenge Na Hum Tera Sath","46871","processing","6a4c6eea6d14d7a3515394f1","","","true","NOT_IN_BROMA",""
"Pyaar Gum Dil ke","46183","failed","6a4c6f1f6d14d7a3515394f4","","Broma HTTP 429: status: validation_error; errors.file.rule: audio limit exceeded in release; errors.","false","NOT_IN_BROMA","YES"
"Chhupana Bhi Nahi Aata","46872","processing","6a4c6f2a6d14d7a3515394f7","","","true","NOT_IN_BROMA",""
"Pyaar Gum Hai","46873","processing","6a4c6f7a6d14d7a351539524","","","true","NOT_IN_BROMA",""
"Chupke Se Pyar Hua Hai","46874","processing","6a4c6f896d14d7a35153952a","","","true","NOT_IN_BROMA",""
"Pyaar Ki Kasthi Mein","46877","processing","6a4c6fd36d14d7a35153952d","","","true","NOT_IN_BROMA",""
"Darkhaast","46878","processing","6a4c6fff6d14d7a351539530","","","true","NOT_IN_BROMA",""
"Pyaar Ki Kasthi","46879","processing","6a4c702f6d14d7a351539533","","","true","NOT_IN_BROMA",""
"Deewana Kar Raha Hai","46880","processing","6a4c70546d14d7a35153954f","","","true","NOT_IN_BROMA",""
" Ritin animation","46881","processing","6a4c70816d14d7a351539552","","","true","NOT_IN_BROMA",""
"Dheere Dheere","46162","failed","6a4c70bd6d14d7a351539555","","Broma HTTP 429: status: validation_error; errors.file.rule: audio limit exceeded in release; errors.","false","NOT_IN_BROMA","YES"
"Pyar Ka Ehsaa","46882","processing","6a4c70f16d14d7a351539558","","","true","NOT_IN_BROMA",""
