relName,bid,releaseId,trackId,reason,bromaAction,mongoAction,details
"Ankhiyon Ke Jharokhon Se",46852,6a4c69a56d14d7a351539480,,Repeated timeout,already_gone,deleted,"Already deleted from Broma; MongoDB deleted"
"Pyaar Gum Dil ke",46183,6a4c6f1f6d14d7a3515394f4,,Deleted from Broma,already_gone,deleted,"Already deleted from Broma; MongoDB deleted"
"Dheere Dheere",46162,6a4c70bd6d14d7a351539555,,Deleted from Broma,already_gone,deleted,"Already deleted from Broma; MongoDB deleted"
"Sahil Nizami",46898,6a4c82256d14d7a3515395bb,,Repeated timeout,already_gone,deleted,"Already deleted from Broma; MongoDB deleted"
"Dil Ka Kya Kare Sahib",45667,6a4f51d266b4b4071b8382dd,,Deleted from Broma,already_gone,deleted,"Already deleted from Broma; MongoDB deleted"
"Zamane Ke Dekhen Hain",45338,6a4e1edc0324508423e6377d,,Deleted from Broma,already_gone,deleted,"Already deleted from Broma; MongoDB deleted"
"Yeh Dil Aashiqan",45350,6a4de314d2745735a898059f,,Deleted from Broma,already_gone,deleted,"Already deleted from Broma; MongoDB deleted"
"Tu Neendon Ki RaniAu",45527,6a4ccb926d14d7a351539672,,Deleted from Broma,already_gone,deleted,"Already deleted from Broma; MongoDB deleted"
"Sath Chhodu Na Tera",44611,6a49d3174028dc69f78560c1,,Deleted from Broma,already_gone,deleted,"Already deleted from Broma; MongoDB deleted"
"A Hawa Mere Sang Sang",44605,6a49d5954028dc69f78560dc,,Deleted from Broma,already_gone,deleted,"Already deleted from Broma; MongoDB deleted"
"Mohabbat Me Sawarne Lage Hai",44603,6a49d5a64028dc69f78560df,,Deleted from Broma,already_gone,deleted,"Already deleted from Broma; MongoDB deleted"
"Aakashaima Chil Udyo Dharti Ma Chaya",44604,6a49d5c04028dc69f78560e2,,Deleted from Broma,already_gone,deleted,"Already deleted from Broma; MongoDB deleted"
"Deurali Ma Batas Chalyo",44602,6a49d5d14028dc69f78560e5,,Deleted from Broma,already_gone,deleted,"Already deleted from Broma; MongoDB deleted"
"Aane Se Uske Aaye Bahar",44598,6a49d60b4028dc69f78560eb,,Deleted from Broma,already_gone,deleted,"Already deleted from Broma; MongoDB deleted"
"Saare Larko Ki Kardo Sadi",44593,6a49d6df4028dc69f78560fa,,Deleted from Broma,already_gone,deleted,"Already deleted from Broma; MongoDB deleted"
"Chhupana Bhi Nahi Aata",44592,6a49d7c34028dc69f7856103,,Deleted from Broma,already_gone,deleted,"Already deleted from Broma; MongoDB deleted"
"Chura Liya Hai Tumne Jo Dil Ko",44587,6a49d8354028dc69f785610f,,Deleted from Broma,already_gone,deleted,"Already deleted from Broma; MongoDB deleted"
"Dil Ka Fasaana ",44583,6a49d9ff4028dc69f785611b,,Deleted from Broma,already_gone,deleted,"Already deleted from Broma; MongoDB deleted"
"Heart Touchi",44556,6a49f4814028dc69f7856172,,Deleted from Broma,already_gone,deleted,"Already deleted from Broma; MongoDB deleted"
"Hum Tere Pyar Mein",44551,6a49f5414028dc69f785617b,,Deleted from Broma,already_gone,deleted,"Already deleted from Broma; MongoDB deleted"
"Human Nature",44541,6a49f6324028dc69f7856184,,Deleted from Broma,already_gone,deleted,"Already deleted from Broma; MongoDB deleted"
"Ladki Badi Anjani Hai",44533,6a49fed94028dc69f785619f,,Deleted from Broma,already_gone,deleted,"Already deleted from Broma; MongoDB deleted"
"Ladki Deewani",44528,6a49ff974028dc69f78561a5,,Deleted from Broma,already_gone,deleted,"Already deleted from Broma; MongoDB deleted"
"Lal Dupatta Ud Gaya",44530,6a4a06864028dc69f78561ab,,Deleted from Broma,already_gone,deleted,"Already deleted from Broma; MongoDB deleted"
"Lal Dupatta Ud",44529,6a4a074b4028dc69f78561ae,,Deleted from Broma,already_gone,deleted,"Already deleted from Broma; MongoDB deleted"
"Kya Tum Mujhse",44523,6a4a07544028dc69f78561b1,,Deleted from Broma,already_gone,deleted,"Already deleted from Broma; MongoDB deleted"
