relName,bid,state,releaseId,trackId,error,bsonTag,category,bromaModStatus,bromaStep,inDrafts,inReleases
"Koi Mere Dil Da Haal",46437,processing,6a50ff673fbc92d483913267,,"",,IN_BROMA_DRAFTS,draft,,true,false
"Hadh Kar Dil",46491,processing,6a48de434028dc69f7855f3e,,"",,IN_BROMA_DRAFTS,draft,,true,false
"Ae Dil Kahin Se Unko",46492,processing,6a4908fd4028dc69f7855fad,,"",,IN_BROMA_DRAFTS,draft,,true,false
"Armaan Hamare",46494,processing,6a49b7524028dc69f7855ffe,,"",,IN_BROMA_DRAFTS,draft,,true,false
"Aap Ki Nazron Ne",46493,processing,6a4b03e43576ebe4b14b7e5f,,"",,IN_BROMA_DRAFTS,draft,,true,false
"Aankh Churaaye",46496,processing,6a49d5864028dc69f78560d9,,"",,IN_BROMA_DRAFTS,draft,,true,false
"Gori Hai Kalaiyan",46498,processing,6a48da47191ffc8b4c204dd5,,"",BSON_FIXED,IN_BROMA_DRAFTS,draft,,true,false
"Sheeshe Ka Tha Dil Mera",46499,processing,6a49097d4028dc69f7855fb0,,"",BSON_FIXED,IN_BROMA_DRAFTS,draft,,true,false
"Aankh Milakar Loot Liya Dil",46536,processing,6a4909f94028dc69f7855fb6,,"",BSON_FIXED,IN_BROMA_DRAFTS,draft,,true,false
"Aa Jao Meri Tamanna",46501,processing,6a4b242f3576ebe4b14b7f49,,"",BSON_FIXED,IN_BROMA_DRAFTS,draft,,true,false
"Dil ko tera intezar reh gaya",46502,processing,6a4c5b796d14d7a3515393f9,,"",BSON_FIXED,IN_BROMA_DRAFTS,draft,,true,false
"Ek Pardesi Mera Dil Le Gaya",46503,processing,6a4c5bfd6d14d7a3515393fc,,"",BSON_FIXED,IN_BROMA_DRAFTS,draft,,true,false
"Hamne Tumko Dil Ye De Diya",46510,processing,6a4c5c626d14d7a3515393ff,,"",BSON_FIXED,IN_BROMA_DRAFTS,draft,,true,false
"Has Mat Yaar Nazar Lag Jayegi",46508,processing,6a4c5cdc6d14d7a351539402,,"",BSON_FIXED,IN_BROMA_DRAFTS,draft,,true,false
"Itna Na Mujhse Tu Pyar Badha",46509,processing,6a4c5d3c6d14d7a351539405,,"",BSON_FIXED,IN_BROMA_DRAFTS,draft,,true,false
"Jab Tu Najar Se Najar",46512,processing,6a4c5dd56d14d7a351539408,,"",BSON_FIXED,IN_BROMA_DRAFTS,draft,,true,false
"Jabse Tujhko Dekha Hai",46511,processing,6a4c5e3f6d14d7a35153940b,,"",BSON_FIXED,IN_BROMA_DRAFTS,draft,,true,false
"Jeena Yahan Marna Yahan",46292,processing,6a4c5eef6d14d7a35153940e,,"",BSON_FIXED,IN_BROMA_DRAFTS,draft,,true,false
"Kesariya",46519,processing,6a4c5f816d14d7a351539411,,"",BSON_FIXED,IN_BROMA_DRAFTS,draft,,true,false
"Koi Haseena Jab Rooth Jati Hai To",46513,processing,6a4c60956d14d7a351539414,,"",BSON_FIXED,IN_BROMA_DRAFTS,draft,,true,false
"Mera Mann Dole Mera Tan Dole",46514,processing,6a4c61886d14d7a351539417,,"",BSON_FIXED,IN_BROMA_DRAFTS,draft,,true,false
"Mera Mann",46518,processing,6a4c62126d14d7a35153941a,,"",BSON_FIXED,IN_BROMA_DRAFTS,draft,,true,false
"Mere Mehboob Qayamat Hogi",46515,processing,6a4c62876d14d7a35153941d,,"",BSON_FIXED,IN_BROMA_DRAFTS,draft,,true,false
"Mere Mehboob",46516,processing,6a4c62f46d14d7a351539420,,"",BSON_FIXED,IN_BROMA_DRAFTS,draft,,true,false
"Panchi Sur Mein Gate Hai",46528,processing,6a4c63106d14d7a351539423,,"",BSON_FIXED,IN_BROMA_DRAFTS,draft,,true,false
"Mujhe Teri Mohabbat Ka",46527,processing,6a4c63816d14d7a351539426,,"",BSON_FIXED,IN_BROMA_DRAFTS,draft,,true,false
"Panchi Sur Mein Gate",46529,processing,6a4c638d6d14d7a351539429,,"",BSON_FIXED,IN_BROMA_DRAFTS,draft,,true,false
"Mujhe Teri",46531,processing,6a4c63f06d14d7a35153942c,,"",BSON_FIXED,IN_BROMA_DRAFTS,draft,,true,false
"Aaj Phir Jeene",46533,processing,6a4c63f86d14d7a35153942f,,"",BSON_FIXED,IN_BROMA_DRAFTS,draft,,true,false
"Panchi Sur Mein",46532,processing,6a4c64046d14d7a351539432,,"",BSON_FIXED,IN_BROMA_DRAFTS,draft,,true,false
"Aane Se Tere Mehke Din",46534,processing,6a4c64556d14d7a351539435,,"",BSON_FIXED,IN_BROMA_DRAFTS,draft,,true,false
"Sach keh raha hai deewana",46273,processing,6a4c64596d14d7a351539436,,"",BSON_FIXED,IN_BROMA_DRAFTS,draft,,true,false
"Aankhein Khuli Ho Yah Band",46270,processing,6a4c64ad6d14d7a35153943b,,"",BSON_FIXED,IN_BROMA_DRAFTS,draft,,true,false
"Pardesi Pardesi",46268,processing,6a4c64bd6d14d7a35153943e,,"",BSON_FIXED,IN_BROMA_DRAFTS,draft,,true,false
"Safar aur dhundh",46266,processing,6a4c64d26d14d7a351539441,,"",BSON_FIXED,IN_BROMA_DRAFTS,draft,,true,false
"Sajna Mere Dil Ye Tera",46264,processing,6a4c65386d14d7a351539444,,"",BSON_FIXED,IN_BROMA_DRAFTS,draft,,true,false
"Sanam Re",46262,processing,6a4c65a16d14d7a35153944a,,"",BSON_FIXED,IN_BROMA_DRAFTS,draft,,true,false
"Aap Jo Mere Meet Naa Hote",46261,processing,6a4c65de6d14d7a35153944d,,"",BSON_FIXED,IN_BROMA_DRAFTS,draft,,true,false
"Solah Baras Ki Baali Umar Ko Salam",46256,processing,6a4c65fd6d14d7a351539450,,"",BSON_FIXED,IN_BROMA_DRAFTS,draft,,true,false
"Aap Ki Nazron Ne Samjha",46253,processing,6a4c66486d14d7a351539453,,"",BSON_FIXED,IN_BROMA_DRAFTS,draft,,true,false
"Teri Yaadon Ka Safar",46252,processing,6a4c665b6d14d7a351539456,,"",BSON_FIXED,IN_BROMA_DRAFTS,draft,,true,false
"Aasan Nahi Yahan",46250,processing,6a4c669e6d14d7a351539459,,"",BSON_FIXED,IN_BROMA_DRAFTS,draft,,true,false
"Thehre Hue Paani Mein",46249,processing,6a4c66ab6d14d7a35153945c,,"",BSON_FIXED,IN_BROMA_DRAFTS,draft,,true,false
"Adhi Adhi Raat",46247,processing,6a4c66fc6d14d7a35153945f,,"",BSON_FIXED,IN_BROMA_DRAFTS,draft,,true,false
"Tumse Mila Jo Pyar Mujhe",46244,processing,6a4c66fd6d14d7a351539460,,"",BSON_FIXED,IN_BROMA_DRAFTS,draft,,true,false
"Pehle Kabhi Na",46243,processing,6a4c67236d14d7a351539465,,"",BSON_FIXED,IN_BROMA_DRAFTS,draft,,true,false
"Tune O Rangile Kaisa Jaadu Kiya",46242,processing,6a4c674b6d14d7a351539468,,"",BSON_FIXED,IN_BROMA_DRAFTS,draft,,true,false
"Aisaa Lagataa Hai",46241,processing,6a4c67506d14d7a35153946b,,"",BSON_FIXED,IN_BROMA_DRAFTS,draft,,true,false
"Pehli Pehli Baar x Dil Deewana",46847,processing,6a4c67976d14d7a35153946e,,"",BSON_FIXED,IN_BROMA_DRAFTS,draft,,true,false
"Tune O Rangile",46848,processing,6a4c67986d14d7a35153946f,,"",BSON_FIXED,IN_BROMA_DRAFTS,draft,,true,false
"Akhmedov",46849,processing,6a4c67b76d14d7a351539474,,"",BSON_FIXED,IN_BROMA_DRAFTS,draft,,true,false
"Amplifier",46850,processing,6a4c68706d14d7a35153947a,,"",BSON_FIXED,IN_BROMA_DRAFTS,draft,,true,false
"Pehli Pehli Baar",46851,processing,6a4c68e26d14d7a35153947d,,"",BSON_FIXED,IN_BROMA_DRAFTS,draft,,true,false
"Baarish Ki Pyaas",46853,processing,6a4c6ab86d14d7a351539486,,"",BSON_FIXED,IN_BROMA_DRAFTS,draft,,true,false
"Baarish",46854,processing,6a4c6b2c6d14d7a351539489,,"",BSON_FIXED,IN_BROMA_DRAFTS,draft,,true,false
"Phool gulab ka khilta",46855,processing,6a4c6b6c6d14d7a35153948c,,"",BSON_FIXED,IN_BROMA_DRAFTS,draft,,true,false
"Bahut Pyar Karte Hain Tumko",46856,processing,6a4c6bc36d14d7a35153948f,,"",BSON_FIXED,IN_BROMA_DRAFTS,draft,,true,false
"Bandeya",46857,processing,6a4c6bfe6d14d7a351539492,,"",BSON_FIXED,IN_BROMA_DRAFTS,draft,,true,false
"Phool Gulab Ka",46858,processing,6a4c6c076d14d7a351539495,,"",BSON_FIXED,IN_BROMA_DRAFTS,draft,,true,false
"Bansuriya Ab Yehi Pukare",46859,processing,6a4c6c836d14d7a351539498,,"",BSON_FIXED,IN_BROMA_DRAFTS,draft,,true,false
"Baras Ki Baali Umar",46860,processing,6a4c6cbd6d14d7a35153949b,,"",BSON_FIXED,IN_BROMA_DRAFTS,draft,,true,false
"Beete lamhe",46861,processing,6a4c6cf76d14d7a35153949e,,"",BSON_FIXED,IN_BROMA_DRAFTS,draft,,true,false
"Bewafa",46862,processing,6a4c6d2b6d14d7a3515394a1,,"",BSON_FIXED,IN_BROMA_DRAFTS,draft,,true,false
"Bhooli Bisri Prem Kahani",46863,processing,6a4c6d636d14d7a3515394a4,,"",BSON_FIXED,IN_BROMA_DRAFTS,draft,,true,false
"Bindiya Chamkegi Chudi Khankegi",46864,processing,6a4c6d9e6d14d7a3515394a7,,"",BSON_FIXED,IN_BROMA_DRAFTS,draft,,true,false
"Chaahat",46865,processing,6a4c6dd76d14d7a3515394aa,,"",BSON_FIXED,IN_BROMA_DRAFTS,draft,,true,false
"Phool Jaisi Muskaan",46866,processing,6a4c6deb6d14d7a3515394ad,,"",BSON_FIXED,IN_BROMA_DRAFTS,draft,,true,false
"Phool Main bheju",46867,processing,6a4c6e6d6d14d7a3515394e8,,"",BSON_FIXED,IN_BROMA_DRAFTS,draft,,true,false
"Chale To Kaat Hi Jayegi Safar",46868,processing,6a4c6e676d14d7a3515394e5,,"",BSON_FIXED,IN_BROMA_DRAFTS,draft,,true,false
"Chahun Main Ya Naa",46869,processing,6a4c6e196d14d7a3515394b9,,"",BSON_FIXED,IN_BROMA_DRAFTS,draft,,true,false
"Phoolon Ke Mausam",46870,processing,6a4c6ec56d14d7a3515394ee,,"",BSON_FIXED,IN_BROMA_DRAFTS,draft,,true,false
"Chand Chhupa Badal Mein",46184,processing,6a4c6eab6d14d7a3515394eb,,"",,NOT_IN_BROMA,-,-,false,false
"Chhodenge Na Hum Tera Sath",46871,processing,6a4c6eea6d14d7a3515394f1,,"",BSON_FIXED,IN_BROMA_DRAFTS,draft,,true,false
"Chhupana Bhi Nahi Aata",46872,processing,6a4c6f2a6d14d7a3515394f7,,"",BSON_FIXED,IN_BROMA_DRAFTS,draft,,true,false
"Pyaar Gum Hai",46873,processing,6a4c6f7a6d14d7a351539524,,"",BSON_FIXED,IN_BROMA_DRAFTS,draft,,true,false
"Chupke Se Pyar Hua Hai",46874,processing,6a4c6f896d14d7a35153952a,,"",BSON_FIXED,IN_BROMA_DRAFTS,draft,,true,false
"Pyaar Ki Kasthi Mein",46877,processing,6a4c6fd36d14d7a35153952d,,"",BSON_FIXED,IN_BROMA_DRAFTS,draft,,true,false
"Darkhaast",46878,processing,6a4c6fff6d14d7a351539530,,"",BSON_FIXED,IN_BROMA_DRAFTS,draft,,true,false
"Pyaar Ki Kasthi",46879,processing,6a4c702f6d14d7a351539533,,"",BSON_FIXED,IN_BROMA_DRAFTS,draft,,true,false
"Deewana Kar Raha Hai",46880,processing,6a4c70546d14d7a35153954f,,"",BSON_FIXED,IN_BROMA_DRAFTS,draft,,true,false
" Ritin animation",46881,processing,6a4c70816d14d7a351539552,,"",BSON_FIXED,IN_BROMA_DRAFTS,draft,,true,false
"Pyar Ka Ehsaa",46882,processing,6a4c70f16d14d7a351539558,,"",BSON_FIXED,IN_BROMA_DRAFTS,draft,,true,false
"Dhoop Mein Nikla Na Karo Roop Ki Rani",46883,processing,6a4c71366d14d7a35153955b,,"",BSON_FIXED,IN_BROMA_DRAFTS,draft,,true,false
"Pyar Ka Ehsaas",46884,processing,6a4c71666d14d7a35153955e,,"",BSON_FIXED,IN_BROMA_DRAFTS,draft,,true,false
"Dhun",46885,processing,6a4c71956d14d7a351539561,,"",BSON_FIXED,IN_BROMA_DRAFTS,draft,,true,false
"Pyar Kahe Banaya Ram",46886,processing,6a4c71c56d14d7a351539564,,"",BSON_FIXED,IN_BROMA_DRAFTS,draft,,true,false
"Phool Jaisi Muskaan",46887,processing,6a4c71d36d14d7a351539567,,"",BSON_FIXED,IN_BROMA_DRAFTS,draft,,true,false
"Raah Me Unse Mulakat",46888,processing,6a4c75566d14d7a35153958f,,"",BSON_FIXED,IN_BROMA_DRAFTS,draft,,true,false
"Kandhe mile se Thana chaudar",46875,processing,6a4c79e26d14d7a351539597,,"",BSON_FIXED,IN_BROMA_DRAFTS,draft,,true,false
"Raat Ko Aaunga",46889,processing,6a4c7a496d14d7a35153959a,,"",BSON_FIXED,IN_BROMA_DRAFTS,draft,,true,false
"Ram Kasam Delhi Sarkar",46147,processing,6a4c7ade6d14d7a35153959d,,"",,IN_BROMA_DRAFTS,draft,,true,false
"Ram Kasam Delhi",46890,processing,6a4c7b606d14d7a3515395a0,,"",BSON_FIXED,IN_BROMA_DRAFTS,draft,,true,false
"Rangdar Ke",46142,processing,6a4c7bce6d14d7a3515395a3,,"",,IN_BROMA_DRAFTS,draft,,true,false
"Rangdar Se Sikh Rangdari",46891,processing,6a4c7c2b6d14d7a3515395a6,,"",BSON_FIXED,IN_BROMA_DRAFTS,draft,,true,false
"Rishta Pyar Ka Na",46892,processing,6a4c7f046d14d7a3515395a9,,"",BSON_FIXED,IN_BROMA_DRAFTS,draft,,true,false
"Rote Rote Yun Hi Raat",46893,processing,6a4c7f9f6d14d7a3515395ac,,"",BSON_FIXED,IN_BROMA_DRAFTS,draft,,true,false
"Rote Rote yun hi",46894,processing,6a4c801c6d14d7a3515395af,,"",BSON_FIXED,IN_BROMA_DRAFTS,draft,,true,false
"Ruk Re Tareniya",46895,processing,6a4c80786d14d7a3515395b2,,"",BSON_FIXED,IN_BROMA_DRAFTS,draft,,true,false
"Saat Samund",46896,processing,6a4c80db6d14d7a3515395b5,,"",BSON_FIXED,IN_BROMA_DRAFTS,draft,,true,false
"Saat Samundar",46897,processing,6a4c81846d14d7a3515395b8,,"",BSON_FIXED,IN_BROMA_DRAFTS,draft,,true,false
"Shaam Hai Dhuan Dhuan",46899,processing,6a4c93746d14d7a3515395dc,,"",BSON_FIXED,IN_BROMA_DRAFTS,draft,,true,false
"Sham hai dhuan sa hawa",46900,processing,6a4c94086d14d7a3515395df,,"",BSON_FIXED,IN_BROMA_DRAFTS,draft,,true,false
"Sun Meri Sheh",46901,processing,6a4c971c6d14d7a3515395f1,,"",BSON_FIXED,IN_BROMA_DRAFTS,draft,,true,false
"Deurali Ukali Chadhera",46117,delivered,6a44e30063d9e483edd4c80d,,"",,IN_BROMA_DRAFTS,draft,,true,false
"Gairi Khet Ko Sirai Hanyo",46116,delivered,6a44e3db63d9e483edd4c810,,"",,IN_BROMA_DRAFTS,draft,,true,false
"Gajalule Ankhai Chhopne",46114,delivered,6a44edb8161d7aa451fcd42c,,"",,IN_BROMA_DRAFTS,draft,,true,false
"Manchhe Ko Maya Yeha",46112,delivered,6a44f07c161d7aa451fcd438,,"",,IN_BROMA_DRAFTS,draft,,true,false
"Aisa Lagta Hai Jaise",46110,delivered,6a44f297161d7aa451fcd43b,,"",,IN_BROMA_DRAFTS,draft,,true,false
"Zindagi Ki Talash Mein",46108,delivered,6a44f4d1161d7aa451fcd446,,"",,IN_BROMA_DRAFTS,draft,,true,false
"Mayaluko Maya Mitho",46107,delivered,6a44f6e6161d7aa451fcd454,,"",,IN_BROMA_DRAFTS,draft,,true,false
"Muglan Hera Jadai Chu",46103,delivered,6a44f7d5161d7aa451fcd470,,"",,IN_BROMA_DRAFTS,draft,,true,false
"Musu Musu Hasi Deuna",46104,delivered,6a44f87a161d7aa451fcd492,,"",,IN_BROMA_DRAFTS,draft,,true,false
"Allah Di Kassam",46102,delivered,6a44f9ab161d7aa451fcd4a4,,"",,IN_BROMA_DRAFTS,draft,,true,false
